ID_Aluno,Idade,Disponibilidade_3_Meses,capital,Computador,Móvel Próprio,Móvel Compartilhado,4G,Wifi,Redes_sociais,Propaganda,Anuncio_CE,indicacao,Outro,Trabalha_Estuda,Trabalha_meses,Disponivel,renda_percapita,dias_espera_inicio_0-40,dias_espera_inicio_40-60,dias_espera_inicio_60-80,dias_espera_inicio_80-100,dias_espera_inicio_100+,Tipo_escola_scholarship,Escolaridade_Cursando o Ensino Superior,Escolaridade_Ensino Médio concluído,Escolaridade_Ensino Médio concluído e não estudando,Escolaridade_Ensino Superior concluído,Estado_RS,Estado_SC,Estado_SP,Trabalhando_Sim,Estudando_Sim,Concluiu_EAD_1,Aprender_EAD_Muito eu tenho uma rotina definida para participar de cursos a distância,Aprender_EAD_Não sei dizer,Aprender_EAD_Quase nada,Disponibilidade_Tutoria_Sim,Renda_Familiar_Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Renda_Familiar_Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Renda_Familiar_Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Renda_Familiar_Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Renda_Familiar_Mais que 5 salários mínimos (mais que R$5.500),Horario_Estudando_Já concluí,Horario_Estudando_Manhã,Horario_Estudando_Noite,Horario_Estudando_Tarde,Faixa_Pessoas_Casa_Pessoas_Casa_4-6,Faixa_Pessoas_Casa_Pessoas_Casa_7-10,Faixa_Pessoas_Casa_Pessoas_Casa_Mais_que_10
7,0.3076923076923077,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,0.07692307692307687,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.018087557603686636,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
9,0.23076923076923084,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.17016129032258065,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
17,0.07692307692307687,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,0.3846153846153846,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.18346774193548387,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
19,0.3846153846153846,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
27,0.15384615384615374,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.05645161290322581,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,0.4615384615384617,0.0,0.0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
29,0.23076923076923084,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
37,0.15384615384615374,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
